Query ID	Protein Domains
RARA	Nuclear_hormone_receptor_ligand-binding, Nuclear_hormone_receptor_ligand-binding_core, Retinoic_acid_receptor, Steroid_hormone_receptor, Zinc_finger_NHR/GATA-type, Zinc_finger_nuclear_hormone_receptor-type
ABL1	F-actin_binding, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, SH2_motif, Src_homology-3_domain, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain
FGFR1	Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_I-set, Immunoglobulin_subtype_2, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_fibroblast_growth_factor_receptor
JAK2	Band_4.1_domain, FERM_central_domain, FERM_domain, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, SH2_motif, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_non-receptor_Jak/Tyk2, Tyrosine-protein_kinase_non-receptor_Jak2
PDGFRA	Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_I-set, Immunoglobulin_subtype, Immunoglobulin_subtype_2, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_CSF-1/PDGF_receptor, Tyrosine-protein_kinase_receptor_class_III_conserved_site, Tyrosine-protein_kinase_vascular_endothelial_growth_factor_receptor_(VEGFR)_N-terminal
ARHGAP20	Pleckstrin_homology-type, Pleckstrin_homology_domain, Ras-association, Rho_GTPase-activating_protein_domain, Rho_GTPase_activation_protein
MKL2	DNA-binding_SAP, RPEL_repeat
BRD4	Bromodomain, Bromodomain_conserved_site
PDGFRB	Immunoglobulin, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_I-set, Immunoglobulin_subtype, Immunoglobulin_subtype_2, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_CSF-1/PDGF_receptor, Tyrosine-protein_kinase_receptor_class_III_conserved_site, Tyrosine-protein_kinase_vascular_endothelial_growth_factor_receptor_(VEGFR)_N-terminal
WDR43	Small-subunit_processome_Utp12, WD40-repeat-containing_domain, WD40/YVTN_repeat-like-containing_domain, WD40_repeat, WD40_repeat-like-containing_domain, WD40_repeat_2, WD40_repeat_subgroup
ETV4	Ets, PEA3-type_ETS-domain_transcription_factor_N-terminal, Winged_helix-turn-helix_transcription_repressor_DNA-binding
MYH11	IQ_motif_EF-hand_binding_site, Myosin_head_motor_domain, Myosin_N-terminal_SH3-like, Myosin_tail
RET	Cadherin, Cadherin-like, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_Ret_receptor
FSTL3	Follistatin-like_N-terminal, Follistatin/Osteonectin_EGF_domain, Matrix_fibril-associated, Protease_inhibitor_Kazal-type, Proteinase_inhibitor_I1_Kazal, TGF-beta_binding
SLC1A2	Sodium:dicarboxylate_symporter, Sodium:dicarboxylate_symporter_conserved_site
ROS1	Fibronectin_type_III, Fibronectin_type_III_domain, Immunoglobulin-like_fold, LDLR_class_B_repeat, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Six-bladed_beta-propeller_TolB-like, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_receptor_class_II_conserved_site
USP6	Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2, Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_conserved_site, Rab-GAP/TBC_domain
PLAG1	Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
DUX4	Helix-turn-helix_motif_lambda-like_repressor, Homeobox, Homeodomain-like, Homeodomain-related
KIT	Immunoglobulin, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_subtype, Immunoglobulin_subtype_2, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_CSF-1/PDGF_receptor, Tyrosine-protein_kinase_receptor_class_III_conserved_site
PDGFB	Platelet-derived_growth_factor_(PDGF), Platelet-derived_growth_factor_conserved_site, Platelet-derived_growth_factor_N-terminal
CSF1	Four-helical_cytokine-like_core, Macrophage_colony_stimulating_factor-1
PPARG	Nuclear_hormone_receptor_ligand-binding, Nuclear_hormone_receptor_ligand-binding_core, Peroxisome_proliferator-activated_receptor, Peroxisome_proliferator-activated_receptor_gamma, Peroxisome_proliferator-activated_receptor_gamma_N-terminal, Steroid_hormone_receptor, Zinc_finger_NHR/GATA-type, Zinc_finger_nuclear_hormone_receptor-type
MAML2	Neurogenic_mastermind-like_N-terminal
PHF1	Tudor_domain, Zinc_finger_FYVE/PHD-type, Zinc_finger_PHD-finger, Zinc_finger_PHD-type, Zinc_finger_PHD-type_conserved_site, Zinc_finger_RING/FYVE/PHD-type
RAF1	Diacylglycerol/phorbol-ester_binding, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_C-like_phorbol_ester/diacylglycerol_binding, Protein_kinase_catalytic_domain, Raf-like_Ras-binding, Serine-threonine/tyrosine-protein_kinase, Serine/threonine-protein_kinase_active_site
ABL2	F-actin_binding, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, SH2_motif, Src_homology-3_domain, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain
ACSL6	AMP-binding_conserved_site, AMP-dependent_synthetase/ligase
ARNT	Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain, Nuclear_translocator, PAC_motif, PAS, PAS_fold, PAS_fold-3
BAZ2A	AT_hook_DNA-binding_motif, Bromodomain, Bromodomain_conserved_site, DDT_domain, DDT_domain_subgroup, DDT_domain_superfamily, DNA-binding_integrase-type, Methyl-CpG_DNA_binding, Zinc_finger_FYVE/PHD-type, Zinc_finger_PHD-finger, Zinc_finger_PHD-type, Zinc_finger_RING/FYVE/PHD-type
CDX2	Caudal-like_activation_domain, Helix-turn-helix_motif_lambda-like_repressor, Homeobox, Homeobox_conserved_site, Homeobox_eukaryotic, Homeodomain-like, Homeodomain-related
FLT3	Immunoglobulin, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_subtype, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_CSF-1/PDGF_receptor, Tyrosine-protein_kinase_receptor_class_III_conserved_site
GOT1	Aminotransferase_class_I/classII, Aminotransferases_class-I_pyridoxal-phosphate-binding_site, Aspartate/other_aminotransferase, Pyridoxal_phosphate-dependent_transferase_major_domain, Pyridoxal_phosphate-dependent_transferase_major_region_subdomain_1
ITPR2	Inositol_145-trisphosphate-binding_protein_receptor, Inositol_145-trisphosphate/ryanodine_receptor, Intracellular_calcium-release_channel, Ion_transport, MIR, MIR_motif, Ryanodine_receptor-related, RyR/IP3R_Homology_associated_domain
LYN	Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, SH2_motif, Src_homology-3_domain, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain
MECOM	Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
NKAIN2	NaK-Atpase_Interacting_protein
NTRK3	Cysteine-rich_flanking_region_C-terminal_domain, Immunoglobulin, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_I-set, Immunoglobulin_subtype, Leucine-rich_repeat, Leucine-rich_repeat-containing_N-terminal, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_neurotrophic_receptor, Tyrosine-protein_kinase_neurotrophic_receptor_type_3, Tyrosine-protein_kinase_receptor_class_II_conserved_site
PER1	PAC_motif, PAS, PAS_fold-3, Period_circadian-like_C-terminal
PRDM16	SET_domain, Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
SYK	Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, SH2_motif, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_non-receptor_SYK/ZAP-70, Tyrosine-protein_kinase_SYK/ZAP-70_inter-SH2_domain
ATF1	Basic-leucine_zipper_(bZIP)_transcription_factor, bZIP_transcription_factor_bZIP-1, cAMP_response_element_binding_(CREB)_protein, Coactivator_CBP_pKID
CREB1	Basic-leucine_zipper_(bZIP)_transcription_factor, bZIP_transcription_factor_bZIP-1, cAMP_response_element_binding_(CREB)_protein, Coactivator_CBP_pKID
DDIT3	Basic-leucine_zipper_(bZIP)_transcription_factor, Basic_leucine_zipper, DNA_damage-inducible_transcript_3
ERG	Ets, Sterile_alpha_motif-type, Sterile_alpha_motif/pointed, Sterile_alpha_motif_homology, Winged_helix-turn-helix_transcription_repressor_DNA-binding
FEV	Ets, Winged_helix-turn-helix_transcription_repressor_DNA-binding
FLI1	Ets, Sterile_alpha_motif-type, Sterile_alpha_motif/pointed, Sterile_alpha_motif_homology, Winged_helix-turn-helix_transcription_repressor_DNA-binding
NFATC2	Cell_surface_receptor_IPT/TIG, Immunoglobulin-like_fold, Immunoglobulin_E-set, Nuclear_factor_of_activated_T_cells_(NFAT), p53-like_transcription_factor_DNA-binding, Rel_homology
NR4A3	Nuclear_hormone_receptor_ligand-binding, Nuclear_hormone_receptor_ligand-binding_core, Orphan_nuclear_receptor, Orphan_nuclear_receptor_NOR1_type, Steroid_hormone_receptor, Zinc_finger_NHR/GATA-type, Zinc_finger_nuclear_hormone_receptor-type
PATZ1	AT_hook_DNA-binding_motif, BTB/POZ, BTB/POZ-like, BTB/POZ_fold, HMG-I/HMG-Y_DNA-binding_conserved_site, Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
PBX1	Homeobox, Homeobox_conserved_site, Homeodomain-like, Homeodomain-related, PBX
POU5F1	Homeobox, Homeobox_conserved_site, Homeodomain-like, Homeodomain-related, Lambda_repressor-like_DNA-binding, POU, POU-specific, POU_domain-containing_protein_class_5
SMARCA5	ATPase_nucleosome_remodelling_ISWI_HAND_domain, DEAD-like_helicase, Helicase_C-terminal, Homeodomain-like, SANT_domain_DNA_binding, SANT_eukarya, SLIDE, SNF2-related
SP3	Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
WT1	Wilm's_tumour_protein, Wilm's_tumour_protein_N-terminal, Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
ZNF444	Retrovirus_capsid_C-terminal, Transcription_regulator_SCAN, Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
IGH	Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_V-set, Immunoglobulin_V-set_subgroup
CREB3L1	Basic-leucine_zipper_(bZIP)_transcription_factor, bZIP_transcription_factor_bZIP-1, cAMP_response_element_binding_(CREB)_protein, Eukaryotic_transcription_factor_Skn-1-like_DNA-binding
SDC2	Neurexin/syndecan/glycophorin_C, Syndecan
BCL6	BTB/POZ, BTB/POZ-like, BTB/POZ_fold, Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
LAMA4	Concanavalin_A-like_lectin/glucanase, Concanavalin_A-like_lectin/glucanase_subgroup, EGF-like_laminin, Laminin_G_domain, Laminin_G_subdomain_2, Laminin_I, Laminin_II
COG5	Conserved_oligomeric_Golgi_complex_subunit_5
COX6C	Cytochrome_c_oxidase_subunit_VIc
FHIT	Histidine_triad-like_motif, Histidine_triad_(HIT)_protein, Histidine_triad_conserved_site, Histidine_triad_motif
LPP	Zinc_finger_LIM-type
NFIB	CTF_transcription_factor/nuclear_factor_1, CTF_transcription_factor/nuclear_factor_1_conserved_site, CTF_transcription_factor/nuclear_factor_1_DNA-binding_domain, CTF_transcription_factor/nuclear_factor_1_N-terminal, MAD_homology_1_Dwarfin-type
RAD51L1	DNA_recombination/repair_protein_RecA/RadB_ATP-binding_domain, DNA_recombination_and_repair_protein_Rad51_C-terminal
WIF1	EGF-like_region_conserved_site, EGF_extracellular, Epidermal_growth_factor-like, Epidermal_growth_factor-like_type_3, WIF_domain, Wnt_inhibitory_factor_(WIF)-1
MRPS10	Ribosomal_protein_S10
DEXI	Dexamethasone-induced_protein
TNFRSF17	BCMA_TALL-1_binding, Tumour_necrosis_factor_receptor_17
BCL3	Ankyrin_repeat, Ankyrin_repeat-containing_domain
BCL7A	BCL7
CCND3	Cyclin, Cyclin-like, Cyclin-related, Cyclin_A/B/D/E, Cyclin_C-terminal, Cyclin_N-terminal
CDKN2A	Cyclin-dependent_kinase_inhibitor_2A
FCGR2B	Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_subtype
FCRL4	Immunoglobulin, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_subtype, Immunoglobulin_subtype_2
IL3	Four-helical_cytokine-like_core, Four-helical_cytokine_core, Interleukin-3
KDSR	Glucose/ribitol_dehydrogenase, NAD(P)-binding_domain, Short-chain_dehydrogenase/reductase_conserved_site, Short-chain_dehydrogenase/reductase_SDR
LHX4	Homeobox, Homeobox_conserved_site, Homeodomain-like, Homeodomain-related, Zinc_finger_LIM-type
LHX4	Zinc_finger_LIM-type
MUC1	Mucin-1, SEA
PAFAH1B2	Esterase_SGNH_hydrolase-type, Esterase_SGNH_hydrolase-type_subgroup, Lipase_GDSL
WHSC1	AWS, High_mobility_group_HMG1/HMG2, High_mobility_group_superfamily, Post-SET_domain, PWWP, SET_domain, Zinc_finger_FYVE/PHD-type, Zinc_finger_PHD-finger, Zinc_finger_PHD-type, Zinc_finger_PHD-type_conserved_site, Zinc_finger_RING-type, Zinc_finger_RING/FYVE/PHD-type
WWOX	Glucose/ribitol_dehydrogenase, NAD(P)-binding_domain, Short-chain_dehydrogenase/reductase_SDR, WW/Rsp5/WWP
SUZ12	Polycomb_protein_VEFS-Box, Zinc_finger_C2H2-like
SLC12A1	Amino_acid_permease_domain, Amino_acid_permease_N-terminal, Na/K/Cl_co-transporter, Na/K/Cl_co-transporter_2, Na/K/Cl_co-transporter_superfamily
ACAT2	Thiolase, Thiolase-like, Thiolase-like_subgroup, Thiolase_active_site, Thiolase_C-terminal, Thiolase_conserved_site, Thiolase_N-terminal
TFEB	Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain, Protein_of_unknown_function_DUF3371
MAP4	Tubulin-binding_Tau_protein
DAZAP1	Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain
ABI1	Abl-interactor_homeo-domain_homologous_domain, Neutrophil_cytosol_factor_2_p67phox, Src_homology-3_domain, Target_SNARE_coiled-coil_domain
ABI2	Abl-interactor_homeo-domain_homologous_domain, Src_homology-3_domain, Target_SNARE_coiled-coil_domain
ACACA	Acetyl-CoA_carboxylase_central_domain, Acetyl-coenzyme_A_carboxyltransferase_C-terminal, Acetyl-coenzyme_A_carboxyltransferase_N-terminal, ATP-grasp_fold, ATP-grasp_fold_subdomain_1, ATP-grasp_fold_subdomain_2, Biotin-binding_site, Biotin/lipoyl_attachment, Biotin_carboxylase_C-terminal, Biotin_carboxylation_domain, Carbamoyl-phosphate_synthase_large_subunit_N-terminal, Carbamoyl-phosphate_synthetase_large_subunit_ATP-binding, Carboxyl_transferase, Pre-ATP-grasp_fold, PreATP-grasp-like_fold, Rudiment_single_hybrid_motif, Single_hybrid_motif
AFF1	Transcription_factor_AF4, Transcription_factor_AF4/FMR2
AFF4	Transcription_factor_AF4/FMR2
ARHGAP26	IRSp53/MIM_homology_domain_(IMD), Pleckstrin_homology-type, Pleckstrin_homology_domain, Rho_GTPase-activating_protein_domain, Rho_GTPase_activation_protein, Src_homology-3_domain
ARHGEF12	Dbl_homology_(DH)_domain, Guanine-nucleotide_dissociation_stimulator_CDC24_conserved_site, PDZ/DHR/GLGF, Pleckstrin_homology-type, Pleckstrin_homology_domain, Regulator_of_G_protein_signalling-like_fold, Regulator_of_G_protein_signalling_superfamily, Rho_GTP_exchange_factor
CASP8AP2	Homeodomain-like
CBL	Adaptor_protein_Cbl_EF_hand-like, Adaptor_protein_Cbl_N-terminal_helical, Adaptor_protein_Cbl_SH2-like, EF-hand-like_domain, SH2_motif, UBA-like, Ubiquitin-associated/translation_elongation_factor_EF1B_N-terminal, Ubiquitin-associated/translation_elongation_factor_EF1B_N-terminal_eukaryote, Zinc_finger_C3HC4_RING-type, Zinc_finger_RING-type, Zinc_finger_RING-type_conserved_site, Zinc_finger_RING/FYVE/PHD-type
CREBBP	Bromodomain, Bromodomain_conserved_site, Coactivator_CBP_KIX, Domain_of_unknown_function_DUF902_CREBbp, Histone_H3-K56_acetyltransferase_RTT109, Nuclear_receptor_coactivator_CREB-bp-like_interlocking, Nuclear_receptor_coactivator_interlocking, Zinc_finger_TAZ-type, Zinc_finger_ZZ-type
DAB2IP	C2_calcium-dependent_membrane_targeting, C2_calcium/lipid-binding_domain_CaLB, Pleckstrin_homology-type, Pleckstrin_homology_domain, Protein_of_unknown_function_DUF3498, Ras_GTPase-activating_protein, Ras_GTPase-activating_protein_conserved_site, Rho_GTPase_activation_protein
EEFSEC	Protein_synthesis_factor_GTP-binding, Translation_elongation/initiation_factor/Ribosomal_beta-barrel, Translation_elongation_factor_EFTu/EF1A_domain_2
ELL	Occludin/RNA_polymerase_II_elongation_factor_ELL_domain, RNA_polymerase_II_elongation_factor_ELL
EP300	Bromodomain, Bromodomain_conserved_site, Coactivator_CBP_KIX, Domain_of_unknown_function_DUF902_CREBbp, Histone_H3-K56_acetyltransferase_RTT109, Nuclear_receptor_coactivator_CREB-bp-like_interlocking, Nuclear_receptor_coactivator_interlocking, Zinc_finger_TAZ-type, Zinc_finger_ZZ-type
EPS15	Calcium-binding_EF-hand, EF-hand-like_domain, EF-Hand_1_calcium-binding_site, EF-HAND_2, EPS15_homology_(EH), Ubiquitin_interacting_motif
FLNA	Actinin-type_actin-binding_conserved_site, Calponin_homology_domain, Filamin/ABP280_repeat, Filamin/ABP280_repeat-like, Immunoglobulin-like_fold, Immunoglobulin_E-set
FOXO3	Transcription_factor_fork_head, Transcription_factor_fork_head_conserved_site, Winged_helix-turn-helix_transcription_repressor_DNA-binding
GAS7	Fps/Fes/Fer/CIP4_homology, Src_homology-3_domain, WW/Rsp5/WWP
GMPS	Anthranilate_synthase_component_II/delta_crystallin, Glutamine_amidotransferase_superfamily, Glutamine_amidotransferase_type_1, GMP_synthase_C-terminal, GMP_synthase_N-terminal, NAD/GMP_synthase, Rossmann-like_alpha/beta/alpha_sandwich_fold
GPHN	MoeA_C-terminal_domain_IV, MoeA_N-terminal_and_linker_domain, Molybdenum_cofactor_biosynthesis_conserved_site, Molybdenum_cofactor_synthesis, Molybdopterin_binding
KIAA0284	Forkhead-associated_(FHA)_domain, SMAD/FHA_domain
KIAA1524	Armadillo-type_fold
LASP1	Nebulin, Nebulin_35_residue_motif, Src_homology-3_domain, Zinc_finger_LIM-type
MAPRE1	Calponin_homology_domain, EB1_C-terminal
MLLT1	YEATS
MLLT10	Zinc_finger_FYVE/PHD-type, Zinc_finger_PHD-finger, Zinc_finger_PHD-type, Zinc_finger_PHD-type_conserved_site, Zinc_finger_RING/FYVE/PHD-type
MLLT3	YEATS
MLLT4	Dil_domain, Dilute, Forkhead-associated_(FHA)_domain, PDZ/DHR/GLGF, Ras-association, SMAD/FHA_domain
MLLT6	Zinc_finger_FYVE/PHD-type, Zinc_finger_PHD-finger, Zinc_finger_PHD-type, Zinc_finger_PHD-type_conserved_site, Zinc_finger_RING/FYVE/PHD-type
MYO1F	IQ_motif_EF-hand_binding_site, Myosin_head_motor_domain, Myosin_tail_2, Src_homology-3_domain
NCKIPSD	Domain_of_unknown_function_DUF2013, Src_homology-3_domain
NEBL	Nebulin, Nebulin_35_residue_motif, Src_homology-3_domain
PDS5A	Armadillo-like_helical, Armadillo-type_fold
SACM1L	Synaptojanin_N-terminal
SEPT11	Cell_division/GTP_binding_protein, Septin
SEPT2	Cell_division/GTP_binding_protein, Septin, Septin_2
SEPT5	Cell_division/GTP_binding_protein, Septin
SEPT6	Cell_division/GTP_binding_protein, Septin
SEPT9	Cell_division/GTP_binding_protein
SH3GL1	BAR, Neutrophil_cytosol_factor_2_p67phox, Src_homology-3_domain
SORBS2	Neutrophil_cytosol_factor_2_p67phox, Sorbin-like, Src_homology-3_domain, Variant_SH3, Zinc_finger_C2H2-type
TET1	Zinc_finger_CXXC-type
ZFYVE19	Zinc_finger_FYVE-related, Zinc_finger_FYVE-type, Zinc_finger_FYVE/PHD-type, Zinc_finger_RING-type, Zinc_finger_RING/FYVE/PHD-type
HOXA9	Homeobox, Homeobox_conserved_site, Homeobox_eukaryotic, Homeobox_Hox9, Homeodomain-like, Homeodomain-related, Hox9_N-terminal_activation_domain
GATA1	Transcription_factor_GATA-1/2/3, Zinc_finger_GATA-type, Zinc_finger_NHR/GATA-type
ZBTB5	BTB/POZ, BTB/POZ-like, BTB/POZ_fold, Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
NCOA3	Domain_of_unknown_function_DUF1518, Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain, Nuclear_receptor_coactivator, Nuclear_receptor_coactivator_interlocking, Nuclear_receptor_coactivator_Ncoa-type_interlocking, Nuclear_receptor_coactivator_Src-1, PAS, PAS_fold, Steroid_receptor_coactivator
TCF7L1	CTNNB1_binding_N-teminal, High_mobility_group_HMG1/HMG2, High_mobility_group_superfamily
INA	Filament, Intermediate_filament_head_DNA-binding_domain, Intermediate_filament_protein, Intermediate_filament_protein_conserved_site
TBXAS1	Cytochrome_P450, Cytochrome_P450_conserved_site, Cytochrome_P450_E-class_group_I
MLF1	Myeloid_leukemia_factor
DEK	DEK_C-terminal, DNA-binding_SAP
ADD3	Class_II_aldolase/adducin_N-terminal
DDX10	DEAD-like_helicase, DNA/RNA_helicase_DEAD/DEAH_box_type_N-terminal, Helicase_C-terminal, RNA_helicase_ATP-dependent_DEAD-box_conserved_site, RNA_helicase_DEAD-box_type_Q_motif
HHEX	Homeobox, Homeobox_conserved_site, Homeobox_eukaryotic, Homeodomain-like, Homeodomain-related
HMGB3	High_mobility_group_HMG1/HMG2, High_mobility_group_HMG1/HMG2_subgroup, High_mobility_group_superfamily, HMG_box_A_DNA-binding_domain_conserved_site
HOXA11	Domain_of_unknown_function_DUF3528_homeobox_protein_eukaryotic, Homeobox, Homeobox_conserved_site, Homeobox_eukaryotic, Homeodomain-like, Homeodomain-related
HOXA13	Homeobox, Homeobox_conserved_site, Homeodomain-like, Homeodomain-related, Hox_protein_A13_N-terminal
HOXC11	Domain_of_unknown_function_DUF3528_homeobox_protein_eukaryotic, Homeobox, Homeobox_conserved_site, Homeobox_eukaryotic, Homeodomain-like, Homeodomain-related
HOXC13	Homeobox, Homeobox_conserved_site, Homeodomain-like, Homeodomain-related, Hox_protein_A13_N-terminal
HOXD11	Domain_of_unknown_function_DUF3528_homeobox_protein_eukaryotic, Homeobox, Homeobox_conserved_site, Homeobox_eukaryotic, Homeodomain-like, Homeodomain-related
HOXD13	Homeobox, Homeobox_conserved_site, Homeodomain-like, Homeodomain-related, Hox_protein_A13_N-terminal
IQCG	IQ_motif_EF-hand_binding_site
KDM5A	ARID/BRIGHT_DNA-binding_domain, PLU-1-like, Transcription_factor_jumonji, Transcription_factor_jumonji/aspartyl_beta-hydroxylase, Transcription_factor_jumonji_JmjN, Zinc_finger_C5HC2-type, Zinc_finger_FYVE/PHD-type, Zinc_finger_PHD-finger, Zinc_finger_PHD-type, Zinc_finger_PHD-type_conserved_site, Zinc_finger_RING/FYVE/PHD-type
PRRX1	Homeobox, Homeobox_conserved_site, Homeodomain-like, Homeodomain-related, Paired-like_homeodomain_protein_OAR
PRRX2	Homeobox, Homeobox_conserved_site, Homeodomain-like, Homeodomain-related, Paired-like_homeodomain_protein_OAR
PSIP1	Lens_epithelium-derived_growth_factor_(LEDGF), PWWP, Treacle-like_Treacher_Collins_Syndrome
RAP1GDS1	Armadillo, Armadillo-like_helical, Armadillo-type_fold
SETBP1	AT_hook_DNA-binding_motif
TOP1	DNA_breaking-rejoining_enzyme_catalytic_core, DNA_topoisomerase_I_active_site, DNA_topoisomerase_I_C-terminal, DNA_topoisomerase_I_C-terminal_eukaryotic-type, DNA_topoisomerase_I_catalytic_core_alpha-helical_subdomain_eukaryotic-type, DNA_topoisomerase_I_catalytic_core_alpha/beta_subdomain_eukaryotic-type, DNA_topoisomerase_I_catalytic_core_eukaryotic-type, DNA_topoisomerase_I_DNA_binding_eukaryotic-type, DNA_topoisomerase_I_DNA_binding_mixed_alpha/beta_motif_eukaryotic-type, DNA_topoisomerase_I_domain_1, DNA_topoisomerases_I_dispensable_insert_eukaryotic-type
WHSC1L1	AWS, Post-SET_domain, PWWP, SET_domain, Zinc_finger_FYVE/PHD-type, Zinc_finger_PHD-finger, Zinc_finger_PHD-type, Zinc_finger_PHD-type_conserved_site, Zinc_finger_RING-type, Zinc_finger_RING/FYVE/PHD-type
CRLF2	Fibronectin_type_III, Fibronectin_type_III_domain, Immunoglobulin-like_fold
NCOA1	Domain_of_unknown_function_DUF1518, Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain, Nuclear_receptor_coactivator, Nuclear_receptor_coactivator_interlocking, Nuclear_receptor_coactivator_Ncoa-type_interlocking, Nuclear_receptor_coactivator_Src-1, PAS, PAS_fold, Steroid_receptor_coactivator
AUTS2	Autism_susceptibility_gene_2_protein
BRD1	Bromodomain, Bromodomain_conserved_site, Enhancer_of_polycomb-like_N-terminal, PWWP, Zinc_finger_FYVE/PHD-type, Zinc_finger_PHD-finger, Zinc_finger_PHD-type, Zinc_finger_PHD-type_conserved_site, Zinc_finger_RING/FYVE/PHD-type
DACH1	DNA_binding_domain_putative, Transforming_protein_Ski
ELN	Tropoelastin
HIPK1	Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine/threonine-protein_kinase-like_domain, Serine/threonine-protein_kinase_active_site, Serine/threonine-protein_kinase_domain
